id,title,level,net,count,vat
1,Venom Statue,5,49.96,6,5
2,Warding Tiara,9,30.69,12,27
3,Malevolence Gauntlet,16,7.13,18,5
4,Shade Chalice,8,48.01,9,27
5,Lifeblood Instrument,9,23.34,3,5
6,Necklace of Seduction,6,13.22,18,27
7,Jar of Misfortune,18,35.12,12,5
8,Slab of Origins,16,17.86,17,27
9,Ring of Delirium,15,18.19,3,5
10,Ring of Torture,9,37.75,10,27
11,Seraphic Seal,10,14.21,11,5
12,Bravery Boots,8,48.17,3,27
13,Seraphic Amulet,9,18.76,11,5
14,Decimation Seal,10,41.13,14,27
15,Teleporting Root,6,49.51,6,5
16,Grimoire of Dementia,4,5.45,8,27
17,Cup of Revival,10,36.09,6,5
18,Fleece of Apathy,18,29.88,14,27
19,Ichor of Loyalty,4,33.48,18,5
20,Mirror of Time,17,7.6,19,27
21,Kismet Cube,6,0.92,18,5
22,Paragon Sandals,2,33.22,6,27
23,Darkness Hide,7,46.71,11,5
24,Paramount Hand,14,6.09,10,27
25,Light's Sword,3,36.86,20,5
26,Boots of Secrets,19,10.23,4,27
27,Canopic Jar of the Gods,1,4.8,5,5
28,Scroll of Loyalty,15,8.6,4,27
29,Seal of Protection,7,35.13,19,5
30,Fleece of Benediction,8,8.06,1,27
31,Divine Hide,7,9.91,15,5
32,Lust's Tiara,1,48.05,10,27
33,Damnation Bracelet,10,10.43,8,5
34,Valor's Robes,18,3.98,17,27
35,Fortune's Mask,18,4.56,15,5
36,Lamp of Fate,12,21.89,2,27
37,Crown of the Aether,10,20.43,14,5
38,Cloak of Lunacy,1,31.35,9,27
39,Ark of Liberation,17,25.18,17,5
40,Chest of Futures,4,1.24,1,27
41,Finality Pillar,2,21.39,9,5
42,Impurity Root,13,19.79,12,27
43,Decay Cloak,14,37.42,6,5
44,Spiritbound Urn,16,12.71,10,27
45,Misfortune Band,12,3.26,3,5
46,Scroll of Fate,1,50,6,27
47,Gem of Strength,17,36.54,3,5
48,Gauntlet of Temptation,19,11.13,3,27
49,Letters of Metamorphosis,17,29.15,16,5
50,Gem of Souls,5,12.84,19,27
51,Hellish Box,7,27.86,10,5
52,Storm Band,1,47.05,15,27
53,Demonic Fruit,4,5.04,20,5
54,Tranquility Jar,17,42.08,20,27
55,Hero's Mask,3,29.58,16,5
56,Monolith of All-Seeing,16,25.18,13,27
57,Bracelet of Storms,11,1.18,12,5
58,Band of Longevity,14,20.89,10,27
59,Rod of Speed,6,17.22,2,5
60,Mirror of Immortality,4,46.52,15,27
61,Paramount Grail,16,34.42,3,5
62,Supremacy Tablet,19,6.55,5,27
63,Enigmatic Symbols,5,45.91,10,5
64,Twilight Band,12,11.33,12,27
65,Triumph Stone,18,37.42,10,5
66,Chalice of Decay,2,31.66,17,27
67,Statuette of Spellbinding,17,31.39,2,5
68,Tiara of Lunacy,11,1.16,15,27
69,Root of Oaths,16,24.55,6,5
70,Gauntlet of Restoration,10,39.14,16,27
71,Rebirth Band,14,16.48,13,5
72,Immortal Gauntlet,15,31.02,15,27
73,Delusion Horn,8,36.42,1,5
74,Flame Root,20,44.82,2,27
75,Demonic Robes,11,30.3,4,5
76,Fleece of Rain,4,36.68,14,27
77,Bracelet of Massacres,5,26.7,3,5
78,Tome of Grace,1,18.87,10,27
79,Mantle of Genesis,17,41.7,13,5
80,Chest of Infinity,3,28.49,13,27
81,Paralyzing Seal,17,9.28,17,5
82,Valor's Stone,12,9.43,5,27
83,Teleportation Box,15,9.48,11,5
84,Exile Statuette,19,33.46,13,27
85,Malediction Boots,8,47.59,6,5
86,Amulet of Peace,17,17.95,20,27
87,Cube of Lunacy,6,39.31,10,5
88,Sandals of Spells,1,33.3,5,27
89,Necklace of Scorching,17,23.07,6,5
90,Arch of Delirium,8,6.12,14,27
91,Holy Amulet,11,14.73,4,5
92,Agony Texts,20,4.54,20,27
93,Scourge Ichor,15,30.9,7,5
94,Azure Goblet,12,40.33,3,27
95,Truth Grimoire,14,18.42,12,5
96,Tiara of the Crux,3,8.14,12,27
97,Instrument of Riches,15,33.61,16,5
98,Chalice of Invisibility,16,8.99,1,27
99,Statuette of Revival,17,36.97,11,5
100,Amulet of Scorching,20,22.84,10,27
